surface,fg,surface_oklch,fg_oklch,ratio,verdict,aaa,aa
cream-50,ink-primary-on-cream,"oklch(0.985 0.013 85)","oklch(0.205 0.020 85)",17.16,AAA,yes,yes
cream-50,ink-secondary-on-cream,"oklch(0.985 0.013 85)","oklch(0.380 0.018 85)",9.59,AAA,yes,yes
cream-50,ink-900,"oklch(0.985 0.013 85)","oklch(0.150 0.020 85)",18.85,AAA,yes,yes
cream-50,bone-50,"oklch(0.985 0.013 85)","oklch(0.965 0.005 220)",1.06,FAIL,no,no
cream-50,bone-100,"oklch(0.985 0.013 85)","oklch(0.920 0.005 220)",1.21,FAIL,no,no
cream-50,sumi-400,"oklch(0.985 0.013 85)","oklch(0.700 0.012 220)",2.55,FAIL,no,no
cream-50,sumi-450,"oklch(0.985 0.013 85)","oklch(0.665 0.012 220)",2.91,FAIL,no,no
cream-50,sumi-500,"oklch(0.985 0.013 85)","oklch(0.620 0 0)",3.49,AA-large,no,no
cream-50,sumi-600,"oklch(0.985 0.013 85)","oklch(0.470 0 0)",6.54,AA,no,yes
cream-50,sumi-700,"oklch(0.985 0.013 85)","oklch(0.380 0 0)",9.59,AAA,yes,yes
cream-50,cream-300,"oklch(0.985 0.013 85)","oklch(0.620 0.020 85)",3.49,AA-large,no,no
cream-50,cream-50,"oklch(0.985 0.013 85)","oklch(0.985 0.013 85)",1.00,FAIL,no,no
cream-50,indigo-500,"oklch(0.985 0.013 85)","oklch(0.430 0.150 250)",7.82,AAA,yes,yes
cream-50,indigo-300,"oklch(0.985 0.013 85)","oklch(0.760 0.110 250)",2.04,FAIL,no,no
cream-50,citrus-500,"oklch(0.985 0.013 85)","oklch(0.860 0.150 105)",1.45,FAIL,no,no
cream-50,persimmon-600,"oklch(0.985 0.013 85)","oklch(0.520 0.180 38)",5.74,AA,no,yes
cream-75,ink-primary-on-cream,"oklch(0.975 0.015 85)","oklch(0.205 0.020 85)",16.67,AAA,yes,yes
cream-75,ink-secondary-on-cream,"oklch(0.975 0.015 85)","oklch(0.380 0.018 85)",9.32,AAA,yes,yes
cream-75,ink-900,"oklch(0.975 0.015 85)","oklch(0.150 0.020 85)",18.31,AAA,yes,yes
cream-75,bone-50,"oklch(0.975 0.015 85)","oklch(0.965 0.005 220)",1.03,FAIL,no,no
cream-75,bone-100,"oklch(0.975 0.015 85)","oklch(0.920 0.005 220)",1.18,FAIL,no,no
cream-75,sumi-400,"oklch(0.975 0.015 85)","oklch(0.700 0.012 220)",2.48,FAIL,no,no
cream-75,sumi-450,"oklch(0.975 0.015 85)","oklch(0.665 0.012 220)",2.83,FAIL,no,no
cream-75,sumi-500,"oklch(0.975 0.015 85)","oklch(0.620 0 0)",3.39,AA-large,no,no
cream-75,sumi-600,"oklch(0.975 0.015 85)","oklch(0.470 0 0)",6.35,AA,no,yes
cream-75,sumi-700,"oklch(0.975 0.015 85)","oklch(0.380 0 0)",9.31,AAA,yes,yes
cream-75,cream-300,"oklch(0.975 0.015 85)","oklch(0.620 0.020 85)",3.39,AA-large,no,no
cream-75,cream-50,"oklch(0.975 0.015 85)","oklch(0.985 0.013 85)",1.03,FAIL,no,no
cream-75,indigo-500,"oklch(0.975 0.015 85)","oklch(0.430 0.150 250)",7.60,AAA,yes,yes
cream-75,indigo-300,"oklch(0.975 0.015 85)","oklch(0.760 0.110 250)",1.99,FAIL,no,no
cream-75,citrus-500,"oklch(0.975 0.015 85)","oklch(0.860 0.150 105)",1.40,FAIL,no,no
cream-75,persimmon-600,"oklch(0.975 0.015 85)","oklch(0.520 0.180 38)",5.58,AA,no,yes
cream-100,ink-primary-on-cream,"oklch(0.965 0.018 85)","oklch(0.205 0.020 85)",16.19,AAA,yes,yes
cream-100,ink-secondary-on-cream,"oklch(0.965 0.018 85)","oklch(0.380 0.018 85)",9.05,AAA,yes,yes
cream-100,ink-900,"oklch(0.965 0.018 85)","oklch(0.150 0.020 85)",17.78,AAA,yes,yes
cream-100,bone-50,"oklch(0.965 0.018 85)","oklch(0.965 0.005 220)",1.00,FAIL,no,no
cream-100,bone-100,"oklch(0.965 0.018 85)","oklch(0.920 0.005 220)",1.14,FAIL,no,no
cream-100,sumi-400,"oklch(0.965 0.018 85)","oklch(0.700 0.012 220)",2.40,FAIL,no,no
cream-100,sumi-450,"oklch(0.965 0.018 85)","oklch(0.665 0.012 220)",2.75,FAIL,no,no
cream-100,sumi-500,"oklch(0.965 0.018 85)","oklch(0.620 0 0)",3.29,AA-large,no,no
cream-100,sumi-600,"oklch(0.965 0.018 85)","oklch(0.470 0 0)",6.17,AA,no,yes
cream-100,sumi-700,"oklch(0.965 0.018 85)","oklch(0.380 0 0)",9.05,AAA,yes,yes
cream-100,cream-300,"oklch(0.965 0.018 85)","oklch(0.620 0.020 85)",3.29,AA-large,no,no
cream-100,cream-50,"oklch(0.965 0.018 85)","oklch(0.985 0.013 85)",1.06,FAIL,no,no
cream-100,indigo-500,"oklch(0.965 0.018 85)","oklch(0.430 0.150 250)",7.38,AAA,yes,yes
cream-100,indigo-300,"oklch(0.965 0.018 85)","oklch(0.760 0.110 250)",1.93,FAIL,no,no
